date,hour,category,duration,average_watch_time_seconds,percent_watched_full,plays,likes,comments,shares,voiceover,in_video_text,captions,viral
05/12/2021,2100,cooking prep,55.7,26.6,16.14,63300,3278,28,237,yes,no,yes,0
05/13/2021,800,how to,59.19,24.7,16.52,80900,3582,59,235,yes,no,no,0
05/13/2021,1200,dinner prep,56.38,25.2,23.93,63300,3466,28,311,yes,yes,yes,0
05/14/2021,1200,how to,35.48,22.7,29.95,59500,3622,54,227,yes,no,yes,0
05/14/2021,1100,dinner prep,59.19,29.6,35.36,77700,5009,65,403,yes,no,yes,0
05/15/2021,900,dinner prep,58.58,22.6,21.37,61100,2068,18,94,yes,no,yes,0
05/16/2021,1200,how to,56.75,26.9,27.58,61600,3603,49,200,yes,no,yes,0
05/17/2021,1000,dinner prep,42.93,24.9,17.16,62800,2926,18,125,yes,no,yes,0
05/17/2021,1300,inquiry,23.98,6.5,3.46,64900,1031,282,3,yes,no,yes,0
05/18/2021,900,cooking,58.35,35.5,44.53,69500,2413,40,27,no,no,no,0
05/18/2021,1300,how to,59.21,20.4,17,91300,2864,29,121,yes,yes,yes,0
05/19/2021,900,cooking prep,48.76,24.7,20.21,84500,4092,31,122,yes,no,yes,0
05/20/2021,800,trend,15.23,9.1,35.97,77100,1717,29,41,no,yes,no,0
05/20/2021,1000,trend,10.91,8.1,40.74,88000,2740,10,23,no,yes,no,0
05/21/2021,1100,how to,39.59,18.7,20.1,128600,5089,77,310,yes,yes,yes,1
05/22/2021,900,shopping,20.18,16,47.49,136.6,8026,114,253,no,yes,no,0
05/23/2021,900,breakfast prep,59.46,36.7,44.12,5700000,748800,3910,77700,yes,no,yes,1
05/25/2021,1000,response,11.91,12.3,63.51,129400,4141,41,7,no,no,no,1
05/26/2021,900,breakfast prep,51.85,29.4,34.14,248500,28500,222,3014,yes,no,yes,1
05/27/2021,900,organization,23.89,19,43,1800000,226600,1170,8209,no,yes,no,1
05/29/2021,900,cooking prep,48.5,30.9,27.24,103500,8230,68,500,yes,no,yes,1
05/30/2021,1000,dessert prep,20.15,9,17.26,45000,1585,17,21,no,no,no,0
05/31/2021,900,breakfast prep,59.46,24.6,25.85,56000,4239,41,379,yes,yes,yes,0
06/01/2021,900,dessert prep,59.56,22,22.88,53200,3214,23,271,yes,no,yes,0
06/02/2021,900,how to,32.76,19.7,33.75,69200,3195,41,44,yes,no,yes,0
06/05/2021,700,how to,18.23,14.3,47.08,277400,19300,55,114,no,no,no,1
06/07/2021,900,how to,41.93,19.8,29.61,294800,22600,61,475,yes,yes,yes,1
06/10/2021,800,lunch prep,29.81,13,11.28,661900,41000,208,2562,no,yes,no,1
06/10/2021,1200,lunch prep,20.18,15.2,38.81,122400,5251,64,49,no,yes,no,1
06/12/2021,1100,how to,12.3,10.9,51.22,2400000,79300,805,1246,yes,no,yes,1
06/14/2021,900,lunch prep,30,10.4,6.09,139000,4466,43,273,no,yes,no,1
06/14/2021,1300,lunch prep,30.9,12.9,23.03,55300,1386,15,34,no,yes,no,0
06/15/2021,1000,lunch prep,25.8,9.7,15.12,52400,1492,20,11,no,yes,no,0
06/16/2021,1000,lunch prep,29,14.2,14.35,51600,1115,20,16,yes,yes,no,0
06/17/2021,900,lunch prep,24,17.7,41.64,147700,6831,19,44,yes,yes,no,1
06/20/2021,900,breakfast prep,57.12,19.9,20.52,62200,3115,25,182,yes,yes,no,0
06/21/2021,900,cooking prep,20,12,21.38,63300,2178,20,39,no,yes,no,0
06/24/2021,900,lunch prep,31.23,18.4,34.8,267800,17900,103,797,yes,no,no,1
06/29/2021,1000,cooking prep,10,8.8,40.83,78000,3532,11,70,no,yes,no,0
07/04/2021,1000,breakfast prep,55.26,22.3,23.71,74100,5819,69,901,yes,yes,no,0
07/08/2021,900,organization,9.87,10.2,61.9,61400,1539,13,43,no,yes,no,0
07/11/2021,800,dinner prep,39.91,22.5,39.02,64500,4192,30,393,yes,no,no,0
07/12/2021,1000,lunch prep,20.8,12.3,28.8,54700,2119,21,24,no,no,no,0
07/14/2021,700,filler,19.99,12.5,32.18,54700,1220,18,11,no,no,no,0
07/15/2021,900,how to,17,10,17.38,62900,1414,52,39,no,yes,no,0
07/22/2021,1000,filler,18.39,14.2,43.62,72600,3724,41,101,no,yes,no,0
07/26/2021,1100,inquiry,12.1,8.9,37.32,67300,1569,68,8,no,yes,yes,0
07/27/2021,1800,breakfast prep,30,10.9,10.71,62200,2363,20,220,yes,yes,yes,0
08/12/2021,900,filler,13,7.1,19.26,78600,1180,19,19,no,yes,no,0
08/15/2021,1000,inquiry,40.47,20,23,262800,1310,159,1040,yes,no,yes,1
08/19/2021,900,shopping,16.04,9.6,33.47,198800,5656,63,145,no,yes,no,1
08/21/2021,1100,tips,33,23.8,50.43,782700,72300,290,708,yes,no,yes,1
08/26/2021,1100,dinner prep,46,27.1,37.49,461700,36600,258,2737,yes,yes,yes,1
09/02/2021,1000,dinner prep,46,25.3,34.46,381100,21500,316,1506,yes,yes,yes,1
09/04/2021,1100,how to,21.41,15.2,40.18,366200,9939,122,230,yes,yes,yes,1
09/06/2021,1100,dinner prep,47,27.5,33.66,3600000,328900,1379,31700,yes,yes,yes,1
09/11/2021,1100,dinner prep,40,19.3,18.48,89300,5766,118,503,yes,yes,yes,0
09/13/2021,1000,cooking prep,51,25.5,16.09,58600,3829,33,164,yes,no,yes,0
09/16/2021,1100,dinner prep,43,25.3,37.89,955400,65800,265,4057,yes,yes,yes,1
09/18/2021,1100,how to,24.84,17.2,32.85,338900,14700,130,67,yes,no,yes,1
09/19/2021,1100,how to,52,22.5,19.22,41700,2418,37,62,yes,no,no,0
09/21/2021,1100,organization,16.88,10.7,28.67,36900,1138,18,11,yes,no,yes,0
09/23/2021,1100,cooking prep,45,25,14.89,41600,2190,44,176,yes,no,yes,0
09/25/2021,1100,how to,35,17.2,17.36,31500,991,13,21,no,yes,no,0
09/30/2021,1100,dessert prep,55,9.2,6.62,26400,506,10,38,yes,no,yes,0
10/01/2021,1000,filler,16.37,8.9,12.22,24000,328,8,6,yes,no,no,0
10/02/2021,1100,filler,29,7.1,2.47,21300,204,2,12,no,yes,no,0
10/03/2021,1000,filler,9.87,9,50.83,1200000,109600,503,7837,no,yes,no,1
